word,colour,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,fixation.started,key_resp.started,text.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,text.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
BLUE,blue,C,b,0,0,0,5,279.3614765999955,280.4620169000118,280.4620169000118,280.814070500026,280.96390189998783,b,1,2.4292276999913156,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,red,C,r,0,1,1,0,,282.9295124000055,282.9295124000055,283.43068059999496,283.43068059999496,r,1,1.7162284000078216,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,purple,C,p,0,2,2,6,,284.6637023999938,284.6637023999938,285.1639344000141,285.1639344000141,p,1,1.6536058000056073,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,orange,I,o,0,3,3,1,,286.3475269000046,286.3475269000046,286.84723329998087,286.84723329998087,o,1,3.374119999993127,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,orange,C,o,0,4,4,3,,289.7598592999857,289.7598592999857,290.24744469998404,290.2643282000208,o,1,2.026417000044603,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,red,I,r,0,5,5,2,,291.81402430002345,291.81402430002345,292.3138951000292,292.3138951000292,r,1,1.7563907000003383,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,blue,I,b,0,6,6,7,,293.5974494999973,293.5974494999973,294.09739890001947,294.09739890001947,b,1,2.0848572999821045,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,purple,I,p,0,7,7,4,,295.7262102999957,295.7262102999957,296.21428580000065,296.2309269999969,p,1,1.704584299994167,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,red,C,r,1,0,8,0,,297.44753459998174,297.44753459998174,297.94760830001906,297.94760830001906,r,1,2.1812514000339434,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,purple,C,p,1,1,9,6,,299.64752410002984,299.64752410002984,300.1474531000131,300.1474531000131,p,1,1.4650245000375435,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,blue,I,b,1,2,10,7,,301.13105949998135,301.13105949998135,301.63079920003656,301.63079920003656,p,0,1.4414201999898069,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,blue,C,b,1,3,11,5,,302.59746339998674,302.59746339998674,303.09756890003337,303.09756890003337,b,1,1.6295726000098512,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,red,I,r,1,4,12,2,,304.2475483000162,304.2475483000162,304.7475855000084,304.7475855000084,r,1,2.0809828000492416,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,purple,I,p,1,5,13,4,,306.34754129999783,306.34754129999783,306.84755260002567,306.84755260002567,p,1,1.6418837999808602,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,orange,C,o,1,6,14,3,,308.01422290003393,308.01422290003393,308.5141844000318,308.5141844000318,o,1,1.7092535000410862,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,orange,I,o,1,7,15,1,,309.7477173000225,309.7477173000225,310.2475917999982,310.2475917999982,r,0,1.8049532000441104,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,orange,C,o,2,0,16,3,,311.581032600021,311.581032600021,312.0810043999809,312.0810043999809,o,1,1.7233688000123948,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,blue,I,b,2,1,17,7,,313.3309986999957,313.3309986999957,313.8309417000273,313.8309417000273,b,1,2.327502399974037,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,orange,I,o,2,2,18,1,,315.6813552000094,315.6813552000094,316.1810460999841,316.1810460999841,o,1,1.5252455999725498,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,purple,C,p,2,3,19,6,,317.23110069998074,317.23110069998074,317.7310892000096,317.7310892000096,p,1,1.2399955000146292,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,purple,I,p,2,4,20,4,,318.49788500001887,318.49788500001887,318.9977123999852,318.9977123999852,p,1,1.109674500010442,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,red,C,r,2,5,21,0,,319.6311080000014,319.6311080000014,320.1310226999922,320.1310226999922,r,1,1.6628288999781944,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,blue,C,b,2,6,22,5,,321.3144955000025,321.3144955000025,321.8143548000371,321.8143548000371,b,1,1.6475804000510834,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,red,I,r,2,7,23,2,,322.9811231000349,322.9811231000349,323.48094600002514,323.48094600002514,o,0,1.2729147000354715,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,orange,C,o,3,0,24,3,,324.28104859997984,324.28104859997984,324.7811656999984,324.7811656999984,o,1,1.2270672000013292,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,purple,C,p,3,1,25,6,,325.53108739998424,325.53108739998424,326.0312130000093,326.0312130000093,p,1,1.4964076000032946,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,blue,I,b,3,2,26,7,,327.04776960000163,327.04776960000163,327.5478356999811,327.5478356999811,b,1,1.7988940000068396,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,purple,I,p,3,3,27,4,,328.8742997000227,328.8742997000227,329.36467620002804,329.3811449999921,p,1,1.7553344000480138,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,blue,C,b,3,4,28,5,,330.6477892000112,330.6477892000112,331.1478025999968,331.1478025999968,b,1,1.9841425999766216,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,red,I,r,3,5,29,2,,332.64801380003337,332.64801380003337,333.1483084000065,333.1483084000065,o,0,12.378137800027616,338.148691600014,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,orange,I,o,3,6,30,1,,345.0481199999922,345.0481199999922,345.54817369999364,345.54817369999364,o,1,1.417744499980472,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,red,C,r,3,7,31,0,,346.4980295000132,346.4980295000132,346.9980264999904,346.9980264999904,r,1,2.4493172999937087,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,orange,I,o,4,0,32,1,,348.96468939998886,348.96468939998886,349.464627999987,349.464627999987,o,1,1.4406693000346422,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,blue,I,b,4,1,33,7,,350.431362000003,350.431362000003,350.93147469998803,350.93147469998803,b,1,1.5399714999948628,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,blue,C,b,4,2,34,5,,351.9981284000096,351.9981284000096,352.49836500000674,352.49836500000674,b,1,0.9279727999819443,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,red,I,r,4,3,35,2,,352.94808460003696,352.94808460003696,353.4480642999988,353.4480642999988,r,1,1.666781899984926,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,purple,I,p,4,4,36,4,,354.6321884000208,354.6321884000208,355.1314635000308,355.1314635000308,b,0,1.3050948000163771,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,red,C,r,4,5,37,0,,355.9672595000011,355.9672595000011,356.4647740999935,356.48153739998816,r,1,2.0152128000045195,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,purple,C,p,4,6,38,6,,358.0148205999867,358.0148205999867,358.51493230002234,358.51493230002234,p,1,1.1099583000177518,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,orange,C,o,4,7,39,3,,359.14820629998576,359.14820629998576,359.648248100013,359.648248100013,o,1,1.479076299990993,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,red,C,r,5,0,40,0,,360.6481879000203,360.6481879000203,361.14820940000936,361.14820940000936,r,1,1.3684420999488793,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,purple,I,p,5,1,41,4,,362.0482712999801,362.0482712999801,362.5484801999992,362.5484801999992,p,1,1.7231903000501916,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,orange,C,o,5,2,42,3,,363.7981868000352,363.7981868000352,364.29820289998315,364.29820289998315,o,1,2.0142740000155754,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,purple,C,p,5,3,43,6,,365.8315148000256,365.8315148000256,366.33152970002266,366.33152970002266,p,1,1.5739512000000104,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,orange,I,o,5,4,44,1,,367.5673742000363,367.5673742000363,368.0649954000255,368.08170899999095,o,1,1.6991309999721125,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
